Hebrew name,Population,English name
ניר עם,611,Nir Am
ניר עציון,985,Nir Ezyon
ניר עקיבא,685,Nir Aqiva
ניר צבי,1285,Nir Zevi
נירים,360,Nirim
נירית,927,Nirit
נס הרים,1414,Nes Harim
נס עמים,420,Nes Ammim
נס ציונה,50351,Nes Ziyyona
נעורים,422,Ne'urim
נעלה,2148,Na'ale
"נעמ""ה",166,Na'ama
נען,1718,Na'an
נערן,101,Na'aran
נצר חזני,498,Nezer Hazzani                                     
נצר סרני,882,Nezer Sereni
נצרת,77445,Nazareth
נשר,24147,Nesher
נתיב הגדוד,212,Netiv HaGedud
"נתיב הל""ה",654,Netiv HaLamed-He
נתיב העשרה,892,Netiv HaAsara
נתיב השיירה,477,Netiv HaShayyara
נתיבות,37543,Netivot
נתניה,221352,Netanya
סאג'ור,4270,Sajur
סאסא,416,Sasa
סביון*,4037,Savyon
סגולה,717,Segulla
סואעד (חמרייה)*,182,Sawa'id(Hamriyye)
סולם,2609,Sulam
סוסיה,1339,Suseya
סופה,211,Sufa
סח'נין,31703,Sakhnin
סלמה,3340,Sallama
סלעית,1331,Sal'it
סמר,278,Samar
סנסנה,519,Sansana
סעד,854,Sa'ad
סעוה,1867,Sa'Wa
סער,858,Sa'ar
ספיר,447,Sappir
סתרייה,1103,Sitriyya
ע'ג'ר,2659,Ghajar
עבדון,668,Avdon
עברון,847,Evron
עגור,528,Agur
עדי,1910,Adi
עדנים,516,Adanim 
עוזה,429,Uza
עוזייר,3277,Uzeir
עולש,1131,Olesh
עומר,7530,Omer
עופר,652,Ofer
עוצם,653,Ozem
עזוז,75,Ezuz
עזר,817,Ezer
עזריאל,904,Azri'el
עזריה,1227,Azarya
עזריקם,1495,Azriqam
עטרת,900,Ateret
עידן,392,Iddan
עיילבון,5752,Eilabun
עיינות,394,Ayanot
עילוט,8356,Ilut
עין איילה,1149,En Ayyala
עין אל-אסד,886,Ein Al-Asad
עין גב,675,En Gev
עין גדי,610,En Gedi
עין דור,1031,En Dor
עין הבשור,1146,En HaBesor
עין הוד,643,En Hod
עין החורש,835,En HaHoresh
עין המפרץ,1250,En HaMifraz
"עין הנצי""ב",604,En HaNaziv
עין העמק,804,En HaEmeq
עין השופט,862,En HaShofet
עין השלושה,361,En HaShelosha
עין ורד,1503,En Wered
עין זיוון,371,En Ziwan
עין חוד,305,Ein Hod
עין חרוד (איחוד),547,En Harod (Ihud)
עין חרוד (מאוחד),760,En Harod(Me'uhad)
עין יהב,742,En Yahav
עין יעקב,1137,En Ya'aqov
"עין כרם-בי""ס חקלאי",173,En Karem-B.S.Haqla'i
עין כרמל,922,En Karmel 
עין מאהל,13336,Ein Mahel
עין נקובא,3505,Ein Naqquba
עין עירון,545,En Iron
עין צורים,863,En Zurim
עין קנייא,2098,Ein Qiniyye
עין ראפה,1251,Ein Rafa
עין שמר,571,En Shemer
עין שריד,1629,En Sarid
עין תמר,195,En Tamar
עינת,829,Enat
עכו,49380,Akko
עלומים,510,Alumim 
עלי,4415,Eli
עלי זהב,3398,Ale Zahav
עלמה,712,Alma
עלמון,1421,Almon
עמוקה,132,Amuqqa
עמיחי,209,Ammihay
עמינדב,1086,Amminadav
עמיעד,439,Ammi'ad
עמיעוז,209,Ammi'oz
עמיקם,739,Ammiqam
עמיר,584,Amir
עמנואל,3906,Immanu'el
עמקה,772,Amqa
ענב,891,Enav
עספיא,12502,Isifya
עפולה,54251,Afula
עפרה,3043,Ofra
עץ אפרים,2427,Ez Efrayim
עצמון שגב,1121,Atsmon Segev
עראבה,25833,Arrabe
עראמשה*,1682,Aramsha
ערב אל נעים,815,Arab Al Naim
ערד,26756,Arad
ערוגות,1147,Arugot
ערערה,25245,Ar'ara
ערערה-בנגב,18331,Ar'ara-BaNegev
עשרת,1012,Aseret
עתלית,8876,Atlit
עתניאל,1044,Otni'el
פארן,502,Paran
פדואל,2009,Pedu'el
פדויים,520,Peduyim
פדיה,841,Pedaya
פוריידיס,13246,Fureidis
פורייה - כפר עבודה,354,Poriyya-Kefar Avoda
פורייה - נווה עובד,1234,Poriyya-Newe Oved
פורייה עילית,1162,Poriyya Illit
פורת,1276,Porat
פטיש,948,Pattish
פלך,142,Pelekh
פלמחים,689,Palmahim
פני חבר,635,Pene Hever
פסגות,1881,Pesagot
פסוטה,3173,Fassuta
"פעמי תש""ז",562,Pa'ame Tashaz
פצאל,304,Peza'el
פקיעין (בוקייעה),5893,Peqi'in (Buqei'a)
פקיעין חדשה,535,Peqi'in Hadasha
פרדס חנה-כרכור,43012,Pardes Hanna-Karkur
פרדסייה,5930,Pardesiyya
פרוד,596,Parod
פרזון,323,Perazon
פרי גן,246,Peri Gan
פתח תקווה,247957,Petah Tiqwa
פתחיה,841,Petahya
צאלים,471,Ze'elim
צביה,331,Zviyya
צבעון,274,Ziv'on
צובה,625,Zova
צוחר,444,Zohar
צופים,2406,Zufim
צופית,1288,Zofit
צופר,451,Zofar
צוקי ים,268,Zuqi Yam
צוקים,344,Zuqim
צור הדסה,11119,Zur Hadassa
צור יצחק,6361,Zur Yizhaq
צור משה,3291,Zur Moshe
צור נתן,313,Zur Natan
צוריאל,360,Zuri'el
צורית,901,Zurit
ציפורי,973,Zippori
צלפון,1044,Zelafon
צנדלה,1644,Sandala
צפרייה,971,Zafriyya
צפרירים,402,Zafririm
צפת,36094,Zefat
צרופה,1096,Zerufa
צרעה,929,Zor'a
קבוצת יבנה,964,Qevuzat Yavne
קדומים,4545,Qedumim
קדימה-צורן,22683,Qadima- Zoran 
קדמת צבי,500,Qidmat Zevi
קדר,1599,Qedar
קדרון,1607,Qidron
קדרים,270,Qaddarim
קוממיות,559,Qomemiyyut
קורנית,926,Qoranit
קטורה,471,Qetura
קיסריה,5343,Qesaryya
קלחים,643,Qelahim
קליה,437,Qalya
קלנסווה,23144,Qalansawe
קלע,319,Qela
קציר,2884,Qazir
קצר א-סר,2459,Qasr A-Sir
קצרין,7297,Qazrin
קריית אונו,40409,Qiryat Ono
קריית ארבע,7326,Qiryat Arba
קריית אתא,59031,Qiryat Atta
קריית ביאליק,40231,Qiryat Bialik
קריית גת,57105,Qiryat Gat
קריית טבעון,18128,Qiryat Tiv'on
קריית ים,39896,Qiryat Yam
קריית יערים,6128,Qiryat Ye'arim
קריית יערים (מוסד),181,Qiryat Ye'arim(Institute)
קריית מוצקין,43304,Qiryat Motzkin
קריית מלאכי,23820,Qiryat Mal'akhi
קריית נטפים,958,Qiryat Netafim
קריית ענבים,466,Qiryat Anavim
קריית עקרון,11001,Qiryat Eqron
קריית שלמה,132,Qiryat Shelomo
קריית שמונה,22512,Qiryat Shemona
קרני שומרון,8135,Qarne Shomeron
קשת,799,Qeshet
ראמה,7728,Rame
ראס אל-עין,393,Ras Al-Ein
ראס עלי,643,Ras Ali
ראש העין,61800,Rosh HaAyin
ראש פינה,3148,Rosh Pinna
ראש צורים,933,Rosh Zurim
ראשון לציון,254384,Rishon LeZiyyon
רבבה,2632,Revava
רבדים,813,Revadim
רביבים,1076,Revivim 
רביד,114,Ravid
רגבה,1096,Regba
רגבים,480,Regavim
רהט,71437,Rahat
רווחה,551,Rewaha
רוויה,444,Rewaya
רוח מדבר,53,Ruah Midbar
רוחמה,689,Ruhama
רומאנה,1212,Rummane
רומת הייב,2047,Rumat Heib
רועי,175,Ro'i
רותם,228,Rotem
רחוב,401,Rehov
רחובות,143904,Rehovot
רחלים,802,Rehelim
ריחאנייה,1195,Reihaniyye
ריחן,329,Rehan 
ריינה,19001,Reine
רימונים,700,Rimmonim 
רינתיה,1205,Rinnatya
רכסים,12668,Rekhasim 
רם-און,978,Ram-On 
רמות,552,Ramot
רמות השבים,1730,Ramot HaShavim
רמות מאיר,749,Ramot Me'ir
רמות מנשה,1159,Ramot Menashe
רמות נפתלי,546,Ramot Naftali
רמלה,76247,Ramla 
רמת גן,163481,Ramat Gan 
רמת דוד,522,Ramat Dawid
רמת הכובש,1129,Ramat HaKovesh
רמת השופט,1101,Ramat HaShofet
רמת השרון,47246,Ramat HaSharon
רמת יוחנן,1012,Ramat Yohanan
רמת ישי,7784,Ramat Yishay
רמת מגשימים,705,Ramat Magshimim
רמת צבי,710,Ramat Zevi
רמת רזיאל,660,Ramat Razi'el
רמת רחל,545,Ramat Rahel
רנן,703,Rannen
רעים,409,Re'im
רעננה,75422,Ra'annana
רקפת,1057,Raqqefet
רשפון,1458,Rishpon
רשפים,1089,Reshafim
רתמים,537,Retamim
שאר ישוב,668,She'ar Yashuv
שבי דרום,171,Shave Darom
שבי ציון,1205,Shave Ziyyon
שבי שומרון,977,Shave Shomeron
שבלי אום אל-גנם,6053,Shibli-Umm Al-Ghanam
שגב-שלום,10936,Segev-Shalom
שדה אילן,590,Sede Ilan
שדה אליהו,692,Sede Eliyyahu
שדה אליעזר,809,Sede Eli'ezer
שדה בוקר,479,Sede Boqer
שדה דוד,594,Sede Dawid
שדה ורבורג,1479,Sede Warburg
שדה יואב,582,Sede Yo'av
שדה יעקב,1103,Sede Ya'aqov
שדה יצחק,686,Sede Yizhaq
שדה משה,760,Sede Moshe
שדה נחום,806,Sede Nahum
שדה נחמיה,1234,Sede Nehemya
שדה ניצן,335,Sede Nizzan
שדה עוזיהו,1571,Sede Uzziyyahu
שדה צבי,665,Sede Zevi
שדות ים,1096,Sedot Yam
שדות מיכה,378,Sedot Mikha
שדי אברהם,357,Sede Avraham
שדי חמד,1019,Sede Hemed
שדי תרומות,463,Sede Terumot
שדמה,594,Shedema
שדמות דבורה,683,Shadmot Devora
שדמות מחולה,666,Shadmot Mehola
שדרות,27635,Sederot
שואבה,655,Sho'eva
שובה,691,Shuva
שובל,820,Shoval
שוהם,21046,Shoham 
שומרה,353,Shomera
שומרייה,825,Shomeriyya
שוקדה,564,Shoqeda
שורש,1247,Shoresh
שורשים,518,Shorashim
שושנת העמקים,505,Shoshannat HaAmaqim
שזור,323,Shezor
שחר,879,Shahar
שחרות,164,Shaharut
שיבולים,300,Shibbolim 
שייח' דנון,2887,Sheikh Dannun
שילה,4356,Shilo
שילת,771,Shilat
שכניה,814,Shekhanya
שלווה,503,Shalwa
שלוחות,451,Sheluhot
שלומי,6512,Shelomi
שלומית,365,Shlomit                                           
שמיר,923,Shamir
שמעה,741,Shim'a
שמרת,580,Shamerat
שמשית,2514,Shimshit
שני,544,Shani
שניר,586,Senir
שעב,7061,Sha'ab
שעל,276,Sha'al
שעלבים,1928,Sha'alvim 
שער אפרים,1908,Sha'ar Efrayim
שער הגולן,544,Sha'ar HaGolan 
שער העמקים,738,Sha'ar HaAmaqim
שער מנשה,574,Sha'ar Menashe
שערי תקווה,6040,Sha'are Tiqwa
שפיים,1303,Shefayim
שפיר,920,Shafir
שפר,427,Shefer
שפרעם,42136,Shefar'am
שקד,961,Shaqed
שקף,500,Sheqef
שרונה,572,Sharona
שריגים,1082,Sarigim (Li-On)
שריד,882,Sarid
שרשרת,321,Sharsheret
שתולה,293,Shetula
שתולים,2116,Shetulim
תאשור,446,Te'ashur
תדהר,652,Tidhar
תובל,319,Tuval
תומר,276,Tomer
תושייה,955,Tushiyya
תימורים,777,Timmorim
תירוש,493,Tirosh
תל אביב-יפו,460613,Tel Aviv - Yafo
תל יוסף,559,Tel Yosef
תל יצחק,1022,Tel Yizhaq
תל מונד,13144,Tel Mond
תל עדשים,1503,Tel Adashim 
תל קציר,417,Tel Qazir
תל שבע,20808,Tel Sheva
תל תאומים,575,Tel Te'omim 
תלם,445,Telem
תלמי אליהו,302,Talme Eliyyahu
תלמי אלעזר,945,Talme El'azar
"תלמי ביל""ו",529,Talme Bilu
תלמי יוסף,329,Talme Yosef
תלמי יחיאל,997,Talme Yehi'el
תלמי יפה,818,Talme Yafe
תלמים,929,Telamim
תמרת,1293,Timrat
תנובות,831,Tenuvot
תעוז,629,Ta'oz
תפרח,2178,Tifrah
תקומה,722,Tequma
תקוע,4076,Teqoa
תרבין א-צאנע,1139,Tarabin As-Sani
תרום,944,Tarum
